ID,Nivel_Educacion,Sector_Trabajo,Ocupacion,Horas_Semanales,Ingreso_Mensual_MXN,Clase_Ingreso
1840,Media Superior,Servicios,Agricultor,57,13600.0,Baja
1841,Licenciatura,Servicios,Lingüista,29,8500.0,Baja
1842,Licenciatura,Comercio,Pastor,44,10600.0,Baja
1843,Media Superior,Informal,Filólogo/a,43,16300.0,Media
1844,Básica,Manufactura,Lechero,55,21500.0,Media
1845,Licenciatura,Informal,Bibliotecario/a,50,28300.0,Media
1846,Licenciatura,Gobierno,Vendedor,24,8500.0,Baja
1847,Básica,Comercio,Zapatero,43,8500.0,Baja
1848,Media Superior,Finanzas,Barrendero,54,12100.0,Baja
1849,Licenciatura,Servicios,Ingeniero/a,22,8500.0,Baja
1850,Básica,Gobierno,Físico/a,26,8500.0,Baja
1851,Posgrado,Comercio,Técnico/a de sonido,21,10300.0,Baja
1852,Licenciatura,Informal,Obrero,51,16600.0,Media
1853,Licenciatura,Informal,Tornero,49,15300.0,Media
1854,Licenciatura,Construcción,Cocinero,23,8500.0,Baja
1855,Media Superior,Comercio,Músico/a,22,15400.0,Media
1856,Licenciatura,Comercio,Lutier,41,14000.0,Baja
1857,Posgrado,Servicios,Cocinero,30,19400.0,Media
1858,Básica,Finanzas,Abogado/a,36,19700.0,Media
1859,Media Superior,Servicios,Cajero,22,8500.0,Baja
1860,Posgrado,Manufactura,Frutero,56,29500.0,Media
1861,Media Superior,Manufactura,Maestro,31,12400.0,Baja
1862,Básica,Informal,Tornero,56,24600.0,Media
1863,Media Superior,Informal,Físico/a,58,25600.0,Media
1864,Media Superior,Informal,Vendedor,48,9700.0,Baja
1865,Licenciatura,Finanzas,Farmacólogo/a,34,14400.0,Baja
1866,Media Superior,Manufactura,Psicoanalista,47,22500.0,Media
1867,Media Superior,Comercio,Barrendero,43,8500.0,Baja
1868,Media Superior,Servicios,Bibliotecario/a,25,8500.0,Baja
1869,Media Superior,Manufactura,Arquitecto/a,43,19300.0,Media
1870,Media Superior,Informal,Herrero,27,11300.0,Baja
1871,Media Superior,Construcción,Bibliotecario/a,22,11200.0,Baja
1872,Media Superior,Finanzas,Barbero,41,15100.0,Media
1873,Licenciatura,Finanzas,Frutero,29,17300.0,Media
1874,Básica,Informal,Kinesiólogo/a,31,8500.0,Baja
1875,Licenciatura,Gobierno,Enfermero/a,23,8500.0,Baja
1876,Básica,Comercio,Escritor,42,8500.0,Baja
1877,Media Superior,Servicios,Actuario/a,46,20600.0,Media
1878,Media Superior,Gobierno,Animador,50,24300.0,Media
1879,Básica,Gobierno,Agricultor,36,13800.0,Baja
1880,Media Superior,Construcción,Físico/a,41,8500.0,Baja
1881,Media Superior,Construcción,Animador,53,19300.0,Media
1882,Media Superior,Servicios,Jardinero,39,16300.0,Media
1883,Básica,Manufactura,Fumigador,30,8500.0,Baja
1884,Básica,Informal,Albañil,45,16000.0,Media
1885,Media Superior,Servicios,Camarero,45,17100.0,Media
1886,Básica,Servicios,Apicultor,35,8600.0,Baja
1887,Media Superior,Manufactura,Repartidor,59,21200.0,Media
1888,Media Superior,Comercio,Desarrollador/a web,30,11800.0,Baja
1889,Media Superior,Comercio,Abogado/a,29,8500.0,Baja
1890,Licenciatura,Comercio,Profesor/a,34,19000.0,Media
1891,Licenciatura,Informal,Barrendero,32,13300.0,Baja
1892,Posgrado,Gobierno,Artesano,57,26800.0,Media
1893,Licenciatura,Construcción,Ingeniero/a,23,16000.0,Media
1894,Licenciatura,Construcción,Psicólogo/a,40,25900.0,Media
1895,Licenciatura,Servicios,Camarero,32,8500.0,Baja
1896,Licenciatura,Gobierno,Frutero,49,14100.0,Baja
1897,Media Superior,Manufactura,Albañil,35,11200.0,Baja
1898,Licenciatura,Finanzas,Fontanero o plomero,36,8500.0,Baja
1899,Licenciatura,Manufactura,Administrador/a,32,8500.0,Baja
1900,Licenciatura,Servicios,Maestro,58,20800.0,Media
1901,Licenciatura,Finanzas,Artesano,43,11700.0,Baja
1902,Básica,Gobierno,Pastor,34,14300.0,Baja
1903,Licenciatura,Finanzas,Desarrollador/a web,30,17100.0,Media
1904,Posgrado,Manufactura,Telefonista,25,15100.0,Media
1905,Licenciatura,Comercio,Obrero,36,10500.0,Baja
1906,Licenciatura,Construcción,Administrador/a,34,15500.0,Media
1907,Básica,Informal,Químico/a,27,13200.0,Baja
1908,Licenciatura,Informal,Cajero,30,10000.0,Baja
1909,Posgrado,Finanzas,Carnicero,44,21100.0,Media
1910,Licenciatura,Construcción,Afilador,23,8500.0,Baja
1911,Licenciatura,Construcción,Agricultor,23,11100.0,Baja
1912,Licenciatura,Informal,Peletero,28,14900.0,Baja
1913,Licenciatura,Comercio,Lavandero,52,9700.0,Baja
1914,Media Superior,Construcción,Camarero,31,18300.0,Media
1915,Licenciatura,Manufactura,Radiólogo/a,34,17200.0,Media
1916,Media Superior,Servicios,Escritor,51,8500.0,Baja
1917,Básica,Comercio,Escritor,20,8500.0,Baja
1918,Licenciatura,Construcción,Jardinero,37,12600.0,Baja
1919,Media Superior,Informal,Desarrollador/a web,38,9600.0,Baja
1920,Básica,Gobierno,Matemático/a,50,16800.0,Media
1921,Licenciatura,Manufactura,Psicoanalista,37,22400.0,Media
1922,Licenciatura,Informal,Repartidor,56,17800.0,Media
1923,Media Superior,Manufactura,Relojero,41,10000.0,Baja
1924,Posgrado,Servicios,Cocinero,40,11700.0,Baja
1925,Media Superior,Gobierno,Barrendero,52,20100.0,Media
1926,Licenciatura,Manufactura,Psicoanalista,20,8500.0,Baja
1927,Media Superior,Construcción,Lutier,46,13200.0,Baja
1928,Posgrado,Servicios,Kinesiólogo/a,39,19600.0,Media
1929,Posgrado,Comercio,Lutier,56,28200.0,Media
1930,Media Superior,Finanzas,Meteorólogo/a,26,13500.0,Baja
1931,Licenciatura,Finanzas,Peletero,45,18100.0,Media
1932,Posgrado,Servicios,Meteorólogo/a,22,13900.0,Baja
1933,Media Superior,Comercio,Fontanero o plomero,53,11300.0,Baja
1934,Básica,Informal,Radiólogo/a,50,17500.0,Media
1935,Media Superior,Construcción,Enfermero/a,55,15000.0,Media
1936,Básica,Servicios,Agricultor,54,24900.0,Media
1937,Licenciatura,Construcción,Carpintero,25,8500.0,Baja
1938,Media Superior,Gobierno,Afilador,23,14200.0,Baja
1939,Básica,Manufactura,Peletero,44,13100.0,Baja
1940,Básica,Comercio,Vigilante,36,9200.0,Baja
1941,Media Superior,Servicios,Lavandero,26,8500.0,Baja
1942,Básica,Gobierno,Sastre,22,8500.0,Baja
1943,Licenciatura,Gobierno,Radiólogo/a,53,27300.0,Media
1944,Básica,Servicios,Desarrollador/a web,22,13500.0,Baja
1945,Media Superior,Comercio,Filólogo/a,51,16000.0,Media
1946,Posgrado,Servicios,Lingüista,46,33900.0,Media
1947,Básica,Comercio,Animador,49,8500.0,Baja
1948,Básica,Manufactura,Cajero,43,8500.0,Baja
1949,Básica,Informal,Repartidor,48,10300.0,Baja
1950,Media Superior,Servicios,Chofer transportista,49,16700.0,Media
1951,Media Superior,Informal,Historiador/a,59,15600.0,Media
1952,Media Superior,Servicios,Lavandero,58,19300.0,Media
1953,Básica,Finanzas,Sastre,51,12800.0,Baja
1954,Licenciatura,Finanzas,Periodista,57,23700.0,Media
1955,Licenciatura,Manufactura,Biólogo/a,35,20800.0,Media
1956,Media Superior,Manufactura,Pastor,45,9200.0,Baja
1957,Licenciatura,Servicios,Lechero,56,11100.0,Baja
1958,Licenciatura,Comercio,Vendedor,20,8500.0,Baja
1959,Licenciatura,Gobierno,Carnicero,50,18600.0,Media
1960,Posgrado,Manufactura,Frutero,26,18500.0,Media
1961,Posgrado,Gobierno,Psicoanalista,55,33900.0,Media
1962,Licenciatura,Comercio,Agricultor,22,8500.0,Baja
1963,Media Superior,Manufactura,Carpintero,55,18400.0,Media
1964,Media Superior,Construcción,Lechero,33,8500.0,Baja
1965,Media Superior,Comercio,Periodista,46,11400.0,Baja
1966,Media Superior,Informal,Tornero,21,8500.0,Baja
1967,Media Superior,Gobierno,Escritor,20,11400.0,Baja
1968,Posgrado,Construcción,Escritor,25,12700.0,Baja
1969,Licenciatura,Comercio,Químico/a,43,23600.0,Media
1970,Básica,Comercio,Enfermero/a,52,8500.0,Baja
1971,Licenciatura,Manufactura,Peluquero,32,13500.0,Baja
1972,Licenciatura,Informal,Actuario/a,32,8500.0,Baja
1973,Licenciatura,Gobierno,Músico/a,57,22000.0,Media
1974,Licenciatura,Finanzas,Zapatero,51,23000.0,Media
1975,Media Superior,Manufactura,Chofer transportista,58,11600.0,Baja
1976,Media Superior,Manufactura,Economista,47,20600.0,Media
1977,Media Superior,Construcción,Agricultor,45,11600.0,Baja
1978,Licenciatura,Manufactura,Programador,58,19700.0,Media
1979,Básica,Servicios,Joyero,28,8500.0,Baja
1980,Básica,Servicios,Bibliotecario/a,55,16800.0,Media
1981,Licenciatura,Comercio,Contador/a,25,8500.0,Baja
1982,Media Superior,Servicios,Meteorólogo/a,52,21000.0,Media
1983,Licenciatura,Gobierno,Técnico/a de sonido,51,25000.0,Media
1984,Posgrado,Comercio,Barrendero,42,17500.0,Media
1985,Licenciatura,Informal,Vendedor,50,17900.0,Media
1986,Básica,Gobierno,Actuario/a,38,15300.0,Media
1987,Posgrado,Comercio,Cerrajero,35,19300.0,Media
1988,Licenciatura,Gobierno,Fumigador,55,23800.0,Media
1989,Posgrado,Servicios,Maestro,59,31300.0,Media
1990,Media Superior,Informal,Farmacólogo/a,51,9800.0,Baja
1991,Licenciatura,Gobierno,Carpintero,48,14800.0,Baja
1992,Media Superior,Finanzas,Herrero,31,11000.0,Baja
1993,Licenciatura,Construcción,Pescador,44,19200.0,Media
1994,Posgrado,Construcción,Carpintero,55,25300.0,Media
1995,Básica,Servicios,Lingüista,58,21200.0,Media
1996,Posgrado,Servicios,Abogado/a,42,20900.0,Media
1997,Posgrado,Finanzas,Artesano,55,32700.0,Media
1998,Posgrado,Construcción,Ferretero,50,28500.0,Media
1999,Básica,Comercio,Leñador,48,9600.0,Baja
2000,Básica,Gobierno,Zapatero,29,10500.0,Baja
2001,Básica,Servicios,Filólogo/a,33,19500.0,Media
2002,Posgrado,Servicios,Bombero,28,8500.0,Baja
2003,Media Superior,Manufactura,Panadero,56,14000.0,Baja
2004,Media Superior,Comercio,Tornero,23,8500.0,Baja
2005,Licenciatura,Comercio,Traductor/a,36,8500.0,Baja
2006,Posgrado,Finanzas,Albañil,49,32800.0,Media
2007,Media Superior,Gobierno,Psicoanalista,41,28000.0,Media
2008,Posgrado,Comercio,Vendedor,42,31700.0,Media
2009,Licenciatura,Comercio,Pastor,58,19800.0,Media
2010,Media Superior,Gobierno,Panadero,21,8500.0,Baja
2011,Licenciatura,Servicios,Carnicero,36,18400.0,Media
2012,Licenciatura,Construcción,Telefonista,28,8500.0,Baja
2013,Posgrado,Gobierno,Enfermero/a,46,20100.0,Media
2014,Básica,Informal,Zapatero,55,15300.0,Media
2015,Básica,Manufactura,Geógrafo/a,26,8500.0,Baja
2016,Licenciatura,Informal,Jardinero,55,15800.0,Media
2017,Posgrado,Comercio,Apicultor,56,21300.0,Media
2018,Media Superior,Construcción,Contador/a,22,8500.0,Baja
2019,Licenciatura,Comercio,Carnicero,39,15600.0,Media
2020,Licenciatura,Gobierno,Ferretero,54,16600.0,Media
2021,Licenciatura,Gobierno,Geógrafo/a,41,16300.0,Media
2022,Media Superior,Gobierno,Bibliotecario/a,58,21900.0,Media
2023,Media Superior,Gobierno,Filólogo/a,47,21200.0,Media
2024,Media Superior,Informal,Afilador,48,8500.0,Baja
2025,Licenciatura,Servicios,Cerrajero,29,9500.0,Baja
2026,Posgrado,Construcción,Repartidor,46,12800.0,Baja
2027,Licenciatura,Manufactura,Peletero,52,18100.0,Media
2028,Básica,Comercio,Mecánico,39,8500.0,Baja
2029,Licenciatura,Comercio,Economista,48,13600.0,Baja
2030,Básica,Comercio,Programador,27,8500.0,Baja
2031,Licenciatura,Manufactura,Historiador/a,48,16400.0,Media
2032,Posgrado,Comercio,Cocinero,46,11100.0,Baja
2033,Licenciatura,Gobierno,Peletero,59,22000.0,Media
2034,Licenciatura,Servicios,Médico/a cirujano/a,25,10300.0,Baja
2035,Básica,Servicios,Pintor,32,20600.0,Media
2036,Media Superior,Finanzas,Lutier,21,8500.0,Baja
2037,Licenciatura,Comercio,Albañil,33,10300.0,Baja
2038,Media Superior,Manufactura,Arquitecto/a,50,22900.0,Media
2039,Básica,Servicios,Matemático/a,28,8500.0,Baja
2040,Media Superior,Servicios,Ingeniero/a,34,11600.0,Baja
2041,Media Superior,Gobierno,Escritor,25,12700.0,Baja
2042,Licenciatura,Servicios,Fumigador,45,13100.0,Baja
2043,Licenciatura,Gobierno,Diseñador/a gráfico,49,24600.0,Media
2044,Licenciatura,Gobierno,Físico/a,44,16300.0,Media
2045,Básica,Informal,Economista,35,8500.0,Baja
2046,Básica,Informal,Contador/a,44,8500.0,Baja
2047,Posgrado,Comercio,Historiador/a,59,18300.0,Media
2048,Media Superior,Gobierno,Arquitecto/a,42,15000.0,Media
2049,Licenciatura,Finanzas,Fontanero o plomero,56,23900.0,Media
2050,Licenciatura,Servicios,Panadero,24,8500.0,Baja
2051,Licenciatura,Construcción,Psicólogo/a,41,16700.0,Media
2052,Básica,Comercio,Animador,49,9800.0,Baja
2053,Licenciatura,Manufactura,Maestro,34,8500.0,Baja
2054,Licenciatura,Construcción,Escritor,33,16100.0,Media
2055,Posgrado,Gobierno,Fumigador,48,16500.0,Media
2056,Licenciatura,Manufactura,Vendedor,56,29400.0,Media
2057,Media Superior,Informal,Barrendero,53,8500.0,Baja
2058,Posgrado,Construcción,Lingüista,29,19400.0,Media
2059,Licenciatura,Servicios,Diseñador/a gráfico,40,13900.0,Baja
2060,Media Superior,Manufactura,Historiador/a,48,20000.0,Media
2061,Licenciatura,Gobierno,Escritor,44,17800.0,Media
2062,Media Superior,Comercio,Imprentero,58,17200.0,Media
2063,Básica,Servicios,Pastor,54,11400.0,Baja
2064,Licenciatura,Manufactura,Matemático/a,21,8500.0,Baja
2065,Media Superior,Manufactura,Camarero,48,20400.0,Media
2066,Básica,Manufactura,Arquitecto/a,45,16900.0,Media
2067,Básica,Finanzas,Joyero,38,15200.0,Media
2068,Licenciatura,Finanzas,Programador,25,8600.0,Baja
2069,Licenciatura,Finanzas,Leñador,43,15400.0,Media
2070,Licenciatura,Finanzas,Artesano,35,16000.0,Media
2071,Media Superior,Informal,Panadero,54,8500.0,Baja
2072,Media Superior,Informal,Vigilante,54,12300.0,Baja
2073,Posgrado,Gobierno,Farmacólogo/a,29,19700.0,Media
2074,Media Superior,Comercio,Radiólogo/a,29,12500.0,Baja
2075,Media Superior,Informal,Kinesiólogo/a,51,12100.0,Baja
2076,Media Superior,Servicios,Contador/a,38,11300.0,Baja
2077,Media Superior,Comercio,Farmacólogo/a,23,11000.0,Baja
2078,Posgrado,Gobierno,Filólogo/a,40,23500.0,Media
2079,Licenciatura,Gobierno,Imprentero,22,8500.0,Baja
2080,Media Superior,Manufactura,Barbero,21,8500.0,Baja
2081,Licenciatura,Comercio,Sastre,39,10800.0,Baja
2082,Media Superior,Finanzas,Cocinero,56,22400.0,Media
2083,Básica,Comercio,Biólogo/a,29,8500.0,Baja
2084,Básica,Servicios,Paleontólogo/a,31,14200.0,Baja
2085,Media Superior,Informal,Paleontólogo/a,43,16500.0,Media
2086,Básica,Servicios,Repartidor,29,8500.0,Baja
2087,Licenciatura,Comercio,Filólogo/a,25,8500.0,Baja
2088,Posgrado,Gobierno,Lutier,26,8900.0,Baja
2089,Licenciatura,Comercio,Físico/a,58,27100.0,Media
2090,Licenciatura,Construcción,Barrendero,37,8700.0,Baja
2091,Media Superior,Servicios,Músico/a,58,11300.0,Baja
2092,Licenciatura,Comercio,Maestro,55,15300.0,Media
2093,Media Superior,Construcción,Zapatero,29,8500.0,Baja
2094,Posgrado,Servicios,Tornero,33,15100.0,Media
2095,Básica,Manufactura,Diseñador/a gráfico,22,8500.0,Baja
2096,Licenciatura,Finanzas,Desarrollador/a web,29,22200.0,Media
2097,Licenciatura,Gobierno,Lutier,22,8500.0,Baja
2098,Básica,Informal,Chofer transportista,31,14600.0,Baja
2099,Licenciatura,Informal,Radiólogo/a,31,16500.0,Media
2100,Licenciatura,Informal,Óptico,40,24000.0,Media
2101,Media Superior,Informal,Técnico/a de sonido,49,14900.0,Baja
2102,Licenciatura,Finanzas,Repartidor,55,29000.0,Media
2103,Licenciatura,Comercio,Psicoanalista,43,26700.0,Media
2104,Licenciatura,Servicios,Abogado/a,31,11500.0,Baja
2105,Licenciatura,Servicios,Periodista,52,26600.0,Media
2106,Licenciatura,Gobierno,Carnicero,37,8500.0,Baja
2107,Licenciatura,Manufactura,Matemático/a,30,13700.0,Baja
2108,Básica,Servicios,Relojero,55,18900.0,Media
2109,Licenciatura,Servicios,Afilador,35,17900.0,Media
2110,Básica,Informal,Farmacólogo/a,30,8500.0,Baja
2111,Posgrado,Manufactura,Jardinero,26,8500.0,Baja
2112,Licenciatura,Comercio,Mecánico,42,8500.0,Baja
2113,Licenciatura,Manufactura,Físico/a,28,14300.0,Baja
2114,Media Superior,Manufactura,Joyero,45,17200.0,Media
2115,Licenciatura,Finanzas,Carnicero,46,31700.0,Media
2116,Posgrado,Informal,Soldador,56,28600.0,Media
2117,Básica,Comercio,Vendedor,43,8500.0,Baja
2118,Media Superior,Informal,Cocinero,36,9400.0,Baja
2119,Licenciatura,Manufactura,Técnico/a de sonido,46,20700.0,Media
2120,Licenciatura,Servicios,Músico/a,38,24200.0,Media
2121,Básica,Informal,Lutier,36,8500.0,Baja
2122,Posgrado,Manufactura,Joyero,57,20300.0,Media
2123,Media Superior,Finanzas,Historiador/a,58,28000.0,Media
2124,Media Superior,Comercio,Cajero,42,13000.0,Baja
2125,Media Superior,Manufactura,Obrero,49,15600.0,Media
2126,Licenciatura,Servicios,Óptico,48,17500.0,Media
2127,Licenciatura,Servicios,Lutier,20,8500.0,Baja
2128,Licenciatura,Informal,Psicoanalista,30,12400.0,Baja
2129,Media Superior,Construcción,Farmacólogo/a,32,8500.0,Baja
2130,Básica,Servicios,Camarero,24,8500.0,Baja
2131,Media Superior,Finanzas,Traductor/a,40,17300.0,Media
2132,Media Superior,Finanzas,Historiador/a,39,8500.0,Baja
2133,Posgrado,Informal,Diseñador/a gráfico,43,24500.0,Media
2134,Básica,Manufactura,Animador,52,9500.0,Baja
2135,Media Superior,Servicios,Paleontólogo/a,45,27300.0,Media
2136,Media Superior,Gobierno,Paleontólogo/a,49,37200.0,Alta
2137,Licenciatura,Servicios,Actuario/a,33,16800.0,Media
2138,Básica,Construcción,Veterinario/a,57,15200.0,Media
2139,Licenciatura,Finanzas,Psicoanalista,55,31900.0,Media
2140,Básica,Manufactura,Farmacólogo/a,25,10900.0,Baja
2141,Básica,Informal,Programador,58,9800.0,Baja
2142,Media Superior,Gobierno,Óptico,58,18600.0,Media
2143,Media Superior,Gobierno,Lingüista,35,14000.0,Baja
2144,Básica,Construcción,Ferretero,36,8500.0,Baja
2145,Media Superior,Manufactura,Telefonista,59,8500.0,Baja
2146,Posgrado,Servicios,Escultor,33,21200.0,Media
2147,Media Superior,Gobierno,Radiólogo/a,33,11200.0,Baja
2148,Media Superior,Comercio,Ingeniero/a,53,26800.0,Media
2149,Media Superior,Gobierno,Peluquero,20,8500.0,Baja
2150,Media Superior,Informal,Óptico,23,8500.0,Baja
2151,Licenciatura,Servicios,Farmacólogo/a,57,25200.0,Media
2152,Licenciatura,Manufactura,Técnico/a de sonido,58,24000.0,Media
2153,Básica,Informal,Psicoanalista,41,9800.0,Baja
2154,Licenciatura,Manufactura,Relojero,36,14300.0,Baja
2155,Básica,Informal,Pescador,35,8500.0,Baja
2156,Licenciatura,Gobierno,Veterinario/a,47,34800.0,Media
2157,Básica,Manufactura,Actuario/a,58,20900.0,Media
2158,Licenciatura,Comercio,Traductor/a,50,13300.0,Baja
2159,Básica,Gobierno,Óptico,47,14600.0,Baja
2160,Licenciatura,Finanzas,Enfermero/a,32,15300.0,Media
2161,Básica,Manufactura,Ingeniero/a,30,15000.0,Media
2162,Licenciatura,Servicios,Paleontólogo/a,28,21700.0,Media
2163,Licenciatura,Manufactura,Jardinero,51,17100.0,Media
2164,Básica,Finanzas,Óptico,25,8500.0,Baja
2165,Posgrado,Finanzas,Radiólogo/a,51,34700.0,Media
2166,Licenciatura,Informal,Barrendero,46,8500.0,Baja
2167,Posgrado,Comercio,Soldador,44,9000.0,Baja
2168,Básica,Informal,Herrero,34,9800.0,Baja
2169,Media Superior,Gobierno,Bombero,56,23500.0,Media
2170,Licenciatura,Comercio,Guardabosques,58,20200.0,Media
2171,Licenciatura,Comercio,Filólogo/a,48,8500.0,Baja
2172,Licenciatura,Manufactura,Diseñador/a gráfico,48,20100.0,Media
2173,Básica,Servicios,Frutero,34,8700.0,Baja
2174,Licenciatura,Gobierno,Peletero,59,21100.0,Media
2175,Licenciatura,Construcción,Abogado/a,46,20300.0,Media
2176,Licenciatura,Servicios,Apicultor,22,11900.0,Baja
2177,Media Superior,Servicios,Leñador,25,10100.0,Baja
2178,Licenciatura,Servicios,Fumigador,50,21500.0,Media
2179,Básica,Manufactura,Músico/a,58,19500.0,Media
2180,Básica,Servicios,Lechero,46,13000.0,Baja
2181,Licenciatura,Comercio,Telefonista,45,21600.0,Media
2182,Media Superior,Finanzas,Químico/a,58,35800.0,Alta
2183,Licenciatura,Comercio,Técnico/a de sonido,36,18600.0,Media
2184,Licenciatura,Gobierno,Pastor,46,14000.0,Baja
2185,Media Superior,Manufactura,Maestro,59,21600.0,Media
2186,Básica,Informal,Artesano,35,9000.0,Baja
2187,Media Superior,Informal,Apicultor,37,8500.0,Baja
2188,Licenciatura,Construcción,Lechero,54,25300.0,Media
2189,Media Superior,Informal,Mecánico,47,8500.0,Baja
2190,Media Superior,Manufactura,Barbero,43,12500.0,Baja
2191,Media Superior,Gobierno,Barbero,32,10900.0,Baja
2192,Básica,Comercio,Artesano,49,12400.0,Baja
2193,Licenciatura,Comercio,Paleontólogo/a,27,11100.0,Baja
2194,Media Superior,Gobierno,Artesano,42,8500.0,Baja
2195,Licenciatura,Manufactura,Bombero,45,10700.0,Baja
2196,Media Superior,Construcción,Radiólogo/a,25,9700.0,Baja
2197,Licenciatura,Gobierno,Peluquero,39,25400.0,Media
2198,Licenciatura,Informal,Químico/a,53,23000.0,Media
2199,Media Superior,Construcción,Relojero,34,10800.0,Baja
2200,Media Superior,Servicios,Jardinero,40,14900.0,Baja
2201,Posgrado,Comercio,Arquitecto/a,37,18900.0,Media
2202,Licenciatura,Construcción,Maestro,43,17300.0,Media
2203,Licenciatura,Manufactura,Arquitecto/a,52,28900.0,Media
2204,Licenciatura,Finanzas,Peluquero,51,11900.0,Baja
2205,Básica,Manufactura,Panadero,44,17600.0,Media
2206,Licenciatura,Servicios,Kinesiólogo/a,38,21600.0,Media
2207,Licenciatura,Servicios,Contador/a,39,21900.0,Media
2208,Media Superior,Manufactura,Bibliotecario/a,56,19400.0,Media
2209,Licenciatura,Comercio,Administrador/a,20,12700.0,Baja
2210,Básica,Informal,Albañil,30,17900.0,Media
2211,Media Superior,Comercio,Pintor,52,13100.0,Baja
2212,Licenciatura,Gobierno,Físico/a,30,15800.0,Media
2213,Posgrado,Comercio,Fontanero o plomero,36,15200.0,Media
2214,Licenciatura,Comercio,Barrendero,51,13500.0,Baja
2215,Posgrado,Servicios,Artesano,24,8500.0,Baja
2216,Licenciatura,Gobierno,Afilador,38,18800.0,Media
2217,Licenciatura,Servicios,Zapatero,21,8500.0,Baja
2218,Básica,Comercio,Bombero,43,8500.0,Baja
2219,Media Superior,Servicios,Peluquero,20,10900.0,Baja
2220,Básica,Manufactura,Repartidor,44,21600.0,Media
2221,Licenciatura,Gobierno,Profesor/a,40,28000.0,Media
2222,Media Superior,Informal,Barbero,44,8500.0,Baja
2223,Media Superior,Gobierno,Óptico,57,34000.0,Media
2224,Licenciatura,Gobierno,Sastre,44,19600.0,Media
2225,Licenciatura,Informal,Animador,26,12500.0,Baja
2226,Media Superior,Construcción,Lavandero,47,8500.0,Baja
2227,Básica,Gobierno,Imprentero,56,14000.0,Baja
2228,Licenciatura,Manufactura,Ferretero,46,22700.0,Media
2229,Media Superior,Servicios,Historiador/a,24,17300.0,Media
2230,Media Superior,Gobierno,Programador,57,26700.0,Media
2231,Licenciatura,Comercio,Farmacólogo/a,29,16400.0,Media
2232,Licenciatura,Finanzas,Matemático/a,22,17400.0,Media
2233,Media Superior,Informal,Mecánico,41,8800.0,Baja
2234,Media Superior,Manufactura,Soldador,21,8500.0,Baja
2235,Posgrado,Comercio,Fontanero o plomero,25,8500.0,Baja
2236,Licenciatura,Gobierno,Barbero,31,17000.0,Media
2237,Licenciatura,Finanzas,Matemático/a,46,14800.0,Baja
2238,Media Superior,Informal,Carpintero,24,8500.0,Baja
2239,Media Superior,Comercio,Biólogo/a,59,21700.0,Media
2240,Licenciatura,Construcción,Lutier,55,21100.0,Media
2241,Media Superior,Manufactura,Pastor,59,14800.0,Baja
2242,Posgrado,Finanzas,Obrero,52,25300.0,Media
2243,Licenciatura,Construcción,Administrador/a,35,9600.0,Baja
2244,Licenciatura,Manufactura,Geógrafo/a,49,20100.0,Media
2245,Licenciatura,Servicios,Escultor,48,15500.0,Media
2246,Licenciatura,Manufactura,Biólogo/a,36,18900.0,Media
2247,Media Superior,Servicios,Peletero,46,12600.0,Baja
2248,Posgrado,Comercio,Lechero,58,28200.0,Media
2249,Posgrado,Gobierno,Apicultor,49,19200.0,Media
2250,Posgrado,Comercio,Diseñador/a gráfico,22,12500.0,Baja
2251,Posgrado,Construcción,Actuario/a,41,17300.0,Media
2252,Básica,Manufactura,Carpintero,29,8500.0,Baja
2253,Básica,Gobierno,Diseñador/a gráfico,42,17500.0,Media
2254,Media Superior,Informal,Peluquero,32,8500.0,Baja
2255,Básica,Informal,Músico/a,50,13900.0,Baja
2256,Licenciatura,Finanzas,Técnico/a de sonido,43,14800.0,Baja
2257,Licenciatura,Finanzas,Diseñador/a gráfico,38,20300.0,Media
2258,Licenciatura,Finanzas,Ingeniero/a,25,8500.0,Baja
2259,Media Superior,Servicios,Diseñador/a gráfico,22,10500.0,Baja
2260,Licenciatura,Comercio,Albañil,36,14800.0,Baja
2261,Licenciatura,Gobierno,Veterinario/a,25,16500.0,Media
2262,Licenciatura,Gobierno,Tornero,33,15800.0,Media
2263,Licenciatura,Finanzas,Peluquero,24,8500.0,Baja
2264,Media Superior,Informal,Enfermero/a,36,8500.0,Baja
2265,Básica,Informal,Peluquero,56,13100.0,Baja
2266,Licenciatura,Servicios,Carnicero,21,12300.0,Baja
2267,Media Superior,Informal,Pintor,49,13100.0,Baja
2268,Básica,Servicios,Pescador,22,8500.0,Baja
2269,Licenciatura,Manufactura,Fontanero o plomero,30,8500.0,Baja
2270,Licenciatura,Finanzas,Fontanero o plomero,36,17200.0,Media
2271,Posgrado,Manufactura,Farmacólogo/a,59,29300.0,Media
2272,Básica,Gobierno,Peletero,39,12400.0,Baja
2273,Media Superior,Servicios,Peluquero,34,10600.0,Baja
2274,Básica,Construcción,Matemático/a,31,12500.0,Baja
2275,Licenciatura,Manufactura,Técnico/a de sonido,45,26000.0,Media
2276,Media Superior,Servicios,Fontanero o plomero,26,8500.0,Baja
2277,Media Superior,Comercio,Zapatero,34,16100.0,Media
2278,Licenciatura,Servicios,Chofer transportista,34,9900.0,Baja
2279,Licenciatura,Manufactura,Óptico,26,14600.0,Baja
2280,Básica,Informal,Músico/a,28,8500.0,Baja
2281,Licenciatura,Informal,Cocinero,34,8500.0,Baja
2282,Media Superior,Comercio,Filólogo/a,56,16000.0,Media
